Temp(°C)	PossibleStay	Weather (VeryRainy=-500  VerySunny=500)	Total Score	Nat	Cul	Ent	Continent	Country	DailyCost	Major City	Number of Records	PlaneTicket	Precipitation(mm)	Sun(hours)	Attractions	UnescoCult	RankGPI	Monuments	Museums	UnescoNat	NightLife	ProtectedArea	EnvRegulation	Restaurants
25	8	344.92	598	166	122	175	Africa	Algeria	35	Algiers	1	195	5.08	350	51	33	45	40	49	50	60	52	64	64
11	0	107.04	371	125	86	55	America	Argentina	67.66	Buenos Aires	1	477	35.56	142.6	16	33	35	29	24	9	18	54	62	21
12.2	0	148.6	210	48	69	54	Oceania	Australia	135.98	Sydney	1	794	56	204.6	1	48	13	7	14	2	15	36	10	38
20.8	3	127.92	169	51	34	75	Europe	Austria	119.18	Vienna	1	99	132.08	260	16	20	3	7	7	31	21	14	6	38
28.8	2	-435.84	580	149	157	157	Asia	Bangladesh	55	Dhaka	1	339	497.84	62	61	52	39	52	53	31	58	60	58	38
18.4	3	122.26	270	61	51	110	Europe	Belgium	119.18	Brussels	1	134	78.74	201	41	17	16	21	13	31	31	17	13	38
15.8	0	134.9	260	45	52	31	America	Brazil	72.88	Sao Paulo	1	442	52.2	187.1	8	12	44	21	19	6	17	12	27	6
21.2	6	251.2	315	62	86	98	Europe	Bulgaria	50.49	Sofia	1	149	50.8	302	16	28	23	29	29	14	33	1	47	49
22.3	1	203	210	72	36	78	America	Canada	133.07	Toronto	1	236	77	280	16	24	8	7	5	5	13	49	18	49
28.4	1	30.78	321	62	30	82	Asia	China	66.91	Shanghai	1	416	160.02	190.8	27	4	49	14	12	1	39	29	32	16
14.6	0	-20.62	490	86	123	101	America	Colombia	27.34	Bogota	1	571	134.62	114	16	33	60	59	31	23	36	16	47	49
20.6	4	222.58	286	62	91	67	Europe	Croatia	76.22	Zagreb	1	120	58.42	281	8	24	22	29	38	23	35	3	36	24
18.2	5	137.1	184	94	56	16	Europe	Czech Republic	78	Prague	1	77	88.9	226	3	17	6	14	25	50	5	23	21	8
16.9	2	182.04	196	46	85	59	Europe	Denmark	184.2	Copenhagen	1	90	60.96	243	27	28	2	29	28	14	19	28	4	13
27.6	9	371.8	484	133	83	94	Africa	Egypt	22	Cairo	1	286	0.2	372	27	33	58	7	43	31	51	44	58	16
24	0	-25.16	569	164	156	111	America	El Salvador	33	San Salvador	1	1026	264.16	239	41	58	46	40	58	50	46	51	63	24
15	5	-127.38	555	87	146	178	Africa	Ethiopia	12	Addis Ababa	1	429	195.58	68.2	63	24	48	59	63	31	58	27	29	57
17.8	2	227.5	292	65	90	107	Europe	Finland	138	Helsinki	1	120	63.5	291	27	33	10	40	17	31	42	33	1	38
20.3	3	128.1	151	38	25	46	Europe	Germany	120.31	Berlin	1	75	88.9	217	16	2	14	21	2	14	6	4	20	24
26.3	7	33.08	516	84	171	174	Africa	Ghana	10	Accra	1	423	121.92	155	64	52	29	64	55	50	48	32	2	62
28.7	3	373.84	299	96	42	47	Europe	Greece	121.45	Athens	1	108	10.16	384	16	11	38	5	26	50	23	5	41	8
21.5	0	23.2	532	105	149	140	America	Honduras	29	Tegucigalpa	1	946	177.8	201	47	58	46	29	62	31	55	21	53	38
21.5	5	215.12	250	81	88	30	Europe	Hungary	73.56	Budapest	1	99	55.88	271	8	28	17	40	20	31	14	18	32	8
